time_min,boss_1,chest_1,chest1_evo,chance1,chance2,boss_2,chest_2,chest1_evo,chance1,chance2
1,3,1,1,0,0,-1,0,0,0,0
3,3,1,0,0,5,-1,0,0,0,0
5,24,1,0,1,5,-1,0,0,0,0
7,3,1,0,3,10,-1,0,0,0,0
8,25,0,0,0,0,-1,0,0,0,0
9,4,1,0,3,10,-1,0,0,0,0
10,24,1,1,3,10,-1,0,0,0,0
11,3,0,0,0,0,-1,0,0,0,0
12,3,1,1,1,5,-1,0,0,0,0
14,4,1,1,3,10,-1,0,0,0,0
15,26,1,1,3,10,-1,0,0,0,0
16,3,1,1,1,5,-1,0,0,0,0
18,4,1,1,3,10,-1,0,0,0,0
20,27,1,1,3,10,-1,0,0,0,0
21,28,0,0,0,0,3,0,0,0,0
22,3,1,1,3,10,-1,0,0,0,0
23,4,1,1,3,10,-1,0,0,0,0
24,28,0,0,0,0,-1,0,0,0,0
25,28,1,1,3,10,-1,0,0,0,0
27,3,1,1,3,10,-1,0,0,0,0
29,3,1,1,3,10,-1,0,0,0,0
