time_min,swarm1_type,swarm1_type,swarm_1_amount,swarm_1_delay,swarm_1_duration,swarm_1_repeat,swarm_1_chance,swarm2_type,swarm2_type,swarm_2_amount,swarm_2_delay,swarm_2_duration,swarm_2_repeat,swarm_2_chance
2,22,-1,50,5000,-1,3,100,-1,-1,-1,-1,-1,-1,-1
3,22,-1,50,5000,-1,2,10,-1,-1,-1,-1,-1,-1,-1
4,22,-1,50,5000,-1,2,-1,-1,-1,-1,-1,-1,-1,-1
5,5,6,100,69000,30,1,100,-1,-1,-1,-1,-1,-1,-1
6,22,-1,50,5000,-1,2,10,-1,-1,-1,-1,-1,-1,-1
7,22,-1,50,5000,-1,6,80,-1,-1,-1,-1,-1,-1,-1
8,22,-1,50,15000,-1,3,80,-1,-1,-1,-1,-1,-1,-1
9,22,-1,50,15000,-1,3,70,-1,-1,-1,-1,-1,-1,-1
10,5,6,100,69000,60,1,100,-1,-1,-1,-1,-1,-1,-1
11,22,-1,50,5000,-1,2,10,-1,-1,-1,-1,-1,-1,-1
12,22,-1,50,5000,-1,6,80,-1,-1,-1,-1,-1,-1,-1
13,23,-1,20,1200,-1,21,70,23,-1,20,2300,-1,21,70
15,5,6,100,69000,60,1,50,-1,-1,-1,-1,-1,-1,-1
20,22,-1,50,1200,-1,21,70,22,-1,50,2300,-1,21,70
25,5,6,100,10000,10,6,100,-1,-1,-1,-1,-1,-1,-1
27,23,-1,20,69000,-1,1,100,22,-1,20,3000,-1,14,100
29,22,-1,50,69000,-1,1,100,22,-1,50,3000,-1,14,100
