time_min,enemy_type_1,enemy_weight_1,enemy_type_2,enemy_weight_2,enemy_type_3,enemy_weight_3,minimum,interval_tick
0,30,1,-1,0,-1,0,50,3000
1,30,1,-1,0,-1,0,80,3000
2,30,1,31,1,-1,0,100,4000
3,33,1,-1,0,-1,0,60,4000
4,30,1,33,1,-1,0,110,4000
5,33,1,-1,0,-1,0,100,4000
6,34,1,31,1,-1,0,30,1200
7,34,1,31,1,32,1,80,2000
8,7,1,32,1,-1,0,80,1000
9,7,1,33,1,-1,0,200,500
10,32,1,-1,0,-1,0,100,500
11,37,1,38,1,-1,0,120,2000
12,37,1,34,1,-1,0,80,1000
13,33,1,34,1,-1,0,120,500
14,33,1,36,1,32,1,300,100
15,37,1,-1,0,-1,0,100,100
16,39,1,34,1,35,1,100,1000
17,39,1,32,1,31,1,200,1000
18,39,1,38,1,-1,0,60,500
19,39,1,35,1,-1,0,120,500
20,38,1,35,1,-1,0,100,100
21,38,1,-1,0,-1,0,100,100
22,38,1,40,1,-1,0,80,100
23,34,1,35,1,40,1,120,100
24,40,1,-1,0,-1,0,300,100
25,40,1,41,1,18,1,300,100
26,42,1,-1,0,-1,0,100,100
27,42,1,37,1,-1,0,300,100
28,37,1,49,1,-1,0,250,100
29,46,1,45,1,47,1,250,100
30,29,1,-1,0,-1,0,1,10000
