time_min,swarm_type,swarm1_type,swarm1_type,swarm_1_amount,swarm_1_delay,swarm_1_duration,swarm_1_repeat,swarm_1_chance,swarm2_type,swarm2_type,swarm2_type,swarm_2_amount,swarm_2_delay,swarm_2_duration,swarm_2_repeat,swarm_2_chance
2,1,22,-1,50,5000,-1,3,100,-1,-1,-1,-1,-1,-1,-1,-1
3,1,22,-1,50,5000,-1,2,10,-1,-1,-1,-1,-1,-1,-1,-1
4,1,22,-1,50,5000,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,1,22,-1,50,5000,-1,2,10,-1,-1,-1,-1,-1,-1,-1,-1
7,1,22,-1,50,5000,-1,6,80,-1,-1,-1,-1,-1,-1,-1,-1
8,1,22,-1,50,15000,-1,3,80,-1,-1,-1,-1,-1,-1,-1,-1
9,1,22,-1,50,15000,-1,3,70,-1,-1,-1,-1,-1,-1,-1,-1
11,1,22,-1,50,5000,-1,2,10,-1,-1,-1,-1,-1,-1,-1,-1
12,1,22,-1,50,5000,-1,6,80,-1,-1,-1,-1,-1,-1,-1,-1
13,1,23,-1,20,1200,-1,21,70,1,23,-1,20,2300,-1,21,70
20,1,22,-1,50,1200,-1,21,70,1,22,-1,50,2300,-1,21,70
27,1,23,-1,20,69000,-1,1,100,1,22,-1,20,3000,-1,14,100
29,1,22,-1,50,69000,-1,1,100,1,22,-1,50,3000,-1,14,100
